date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2021-11-19,936760300.5923725,-5397917.851967755,10673224.077838203,10673224.077838205,86920.83422970587,1842.3505358276727,-24.517867527391576,0.0,0.0,0,0,0,0,46,46,829057741.1224527,897816524.4347085,0.0377434511139464,44132161.54930484,863437132.7785807,473171453.44541293,259031139.83357418,941950503.8166816,468779050.3712687,682919363.9831074
2021-11-22,941950503.8166816,-21534446.14165905,17399110.738103323,17399110.738103326,83964.65619403322,1803.6858054052734,-34.13840496423105,0.0,0.0,0,0,0,0,46,46,811658612.432373,876282074.8213159,0.0372413669575526,61449128.9356159,843970343.6268444,462568102.43504083,253191103.08805332,937732973.3043323,475164870.8692914,684541870.2162789
2021-11-23,937732973.3043323,10560520.139910493,17166511.052463584,17166511.052463587,84390.85915234366,1765.5380204804949,-43.62945346566948,0.0,0.0,0,0,0,0,46,46,794492109.2162228,886842597.399349,0.03823915800097082,78533016.23820508,840667353.3077859,460058282.1147041,252200205.99233574,965377335.5461211,505319053.43141705,713177129.5537853
2021-11-24,965377335.5461211,3335365.6100216713,-4490844.953135333,-4490844.953135333,83946.14371375344,1775.5176568595905,-41.08885625334852,0.0,0.0,0,0,0,0,46,46,798982945.5868157,890177968.8032664,0.0378238508141818,73959941.25602734,844580457.1950411,462239375.87686133,253374137.1585123,964139644.4880943,501900268.611233,710765507.329582
2021-11-26,964139644.4880943,-38497818.62891242,14355731.294761907,14355731.294761907,75187.15229051832,1743.616032021591,-49.02346002952847,0.0,0.0,0,0,0,0,46,46,784627214.4097159,851680141.9485021,0.03449711446084584,88242228.05315125,818153678.179109,448308199.81004024,245446103.45373267,939924064.5942253,491615864.78418505,694477961.1404927
2021-11-29,939924064.5942253,18534469.181883417,11803741.657702891,11803741.657702895,74439.56635801958,1716.8564518790947,-55.540676905579694,0.0,0.0,0,0,0,0,46,46,772585403.3455926,870214617.4374101,0.034686448608581444,99973218.43004346,821400010.3915014,449329275.3630303,246420003.11745042,970189497.1832285,520860221.8201982,723769494.065778
2021-11-30,970189497.1832285,-21377705.080369186,13905526.413398482,13905526.413398486,80535.22061487773,1871.950341559389,-21.00895700856646,1246346.274663792,0.0,0,0,0,0,47,47,962717318.516257,962717318.5162569,0.03011546469948167,-1326881.4952778816,962717318.516257,529494525.18394136,288815195.5548771,961392287.9623636,431897762.77842224,672577092.4074864
2021-12-01,961392287.9623636,-50503965.58389394,50247507.50094894,50247507.50094894,76939.06256382875,2027.710692456666,-27.168177902783746,0.0,0.0,0,0,0,0,47,47,912469811.6054996,912156170.5918441,0.03035504536226063,48902720.22501075,912312991.0986719,501779986.1296109,273693897.3296016,961060891.3593694,459280905.2297585,687366994.0297678
2021-12-02,961060891.3593694,13473267.223809317,-12926220.53589558,-12926220.535895579,82631.99743444847,2056.435629432287,-20.01807018523004,0.0,0.0,0,0,0,0,47,47,925396033.2445292,925492779.7164346,0.03214571708515297,36032526.33341408,925444406.4804819,508992004.90246737,277633321.94414455,961527342.467408,452535337.5649406,683894020.5232635
2021-12-03,961527342.467408,-42859407.69739608,53830825.34048573,53830825.34048571,99028.68930404469,1936.8115616542577,-49.870194739157085,0.0,0.0,0,0,0,0,47,47,871565202.744416,882633380.8907108,0.040903799322413344,89766350.53048277,877099291.8175634,482127906.0460025,263129787.545269,972401618.3625605,490273712.316558,709271830.8172915
